Label1,m_J49,l_J49,r_J49,m_OME,l_OME,r_OME,m_JM116,l_JM116,r_JM116,m_PTAA,l_PTAA,r_PTAA
acetone,-1.95E-06,0.000148142,30.04032489,-5.91E-06,0.000357228,7.641308291,-5.60E-06,-0.002476423,-0.371390419,1.19E-06,-5.87E-05,3.254041822
acetone,-2.74E-06,0.000162751,34.88240145,-6.13E-06,0.000324727,10.65468596,2.27E-05,-0.00180612,-0.158236896,2.10E-06,-6.30E-05,4.945766873
acetone,-6.02E-07,0.000243285,38.83160061,-7.51E-06,0.000357381,10.49802926,2.11E-05,-0.001404308,-0.39545882,-2.08E-06,6.79E-05,4.613483092
acetone,-2.45E-06,0.000178042,38.83160061,-4.90E-06,0.000364861,12.56605386,-6.44E-06,-0.00143104,-0.242450258,1.03E-07,-5.40E-05,7.472692658
acetone,-4.26E-06,0.000241809,37.74128145,-4.52E-06,0.000354048,11.27981775,-5.15E-06,-0.000824996,-0.261365498,1.46E-09,-7.90E-05,2.994026513
acetone,-5.94E-06,0.000415621,42.85754038,-7.26E-06,0.000316187,14.22397935,-8.38E-07,-0.002018807,-0.171311973,-2.56E-07,-2.91E-06,8.939119721
acetone,-4.67E-06,0.000274984,45.97837847,-9.22E-06,0.000452004,14.53318288,5.32E-05,-0.001125155,-0.518779674,-1.77E-06,4.14E-05,6.193566412
acetone,-4.67E-06,0.000257082,45.78378259,-5.12E-06,0.000406123,16.58628491,1.53E-05,-0.002081069,-0.34235128,-2.33E-06,-4.44E-05,3.164663855
acetone,-6.07E-06,0.00032099,46.3121497,-7.25E-06,0.000425478,15.79154533,-1.73E-05,-0.001614355,-0.345111305,-7.07E-07,-5.61E-05,3.496947636
acetone,-3.61E-06,0.000431724,51.88373675,-9.95E-06,0.000416693,18.99093527,1.73E-05,-0.001399304,-0.3287582,-9.99E-07,-1.77E-05,6.088466096
acetone,-4.95E-07,0.000329679,59.00519941,-1.02E-05,0.000576385,18.53986454,1.37E-05,-0.001785026,-0.320705282,-2.55E-06,2.53E-05,3.496947636
acetone,-3.06E-06,0.000259044,53.61078154,-1.08E-05,0.000500169,19.63482155,1.81E-05,-0.001922756,-0.436405895,1.97E-06,-8.93E-05,8.60346486
acetone,-2.38E-06,0.000308297,62.66907667,-8.20E-06,0.000496623,19.69504524,2.03E-05,-0.001953362,-0.419170496,1.56E-06,-6.86E-05,2.793964516
acetone,2.95E-07,0.000402506,62.4823934,-1.14E-05,0.000534139,22.77284031,8.73E-08,-0.002164756,-0.371273656,6.89E-07,-2.98E-05,5.771416794
acetone,-1.50E-06,0.000356865,67.74335954,-1.40E-05,0.000658045,22.36833623,-2.70E-06,-0.00152938,-0.365689353,-2.10E-08,-7.12E-05,4.520381761
acetone,-2.62E-06,0.000332472,67.79522304,-9.38E-06,0.000653261,24.14956377,-8.25E-06,-0.001875782,-0.460316391,-1.66E-07,-4.77E-05,7.473394377
acetone,-1.43E-06,0.000317084,69.80141387,-5.60E-06,0.000617738,21.33688924,7.23E-06,-0.00145238,-0.563387267,-2.01E-06,-4.65E-05,7.24790398
acetone,-1.81E-06,0.000432526,71.64928404,-7.27E-06,0.000657055,24.4213898,-3.92E-06,-0.001533443,-0.528115522,-4.34E-06,0.000118199,15.56416225
