Class,Glycine,Lactic acid,Pyruvic acid,Valine,Leucine1,Glycerol,Isoleucine,Leucine2,Malonic acid,Glycine2,Phosphate,Threonine1,Alanine,Threonine2,Succinic acid,Benzoic acid,Threitol,Malic acid,hydroxyproline1,Aspartic acid1,aminobutyric acid,Aspartic acid2,hydroxyproline2,Xylitol,Hydroxyglutaric acid,ethyl ester,Methionine,Creatinine,Putrescine,Hypotaurine,Glutamic acid,KA/AKA/T,Fructose,T/S/F1,S/A/M/G/G,T/S/F2,Glycerol3phoshate,A/M/G/G1,A/M/G/G2,A/M/G/G3,Citric acid,Acetylaspartic acid,Glucose,Scyllo-inositol,Lysine,S-I/M-I/I,Pantothenic acid,Tyramin/Tyrosine,Hexadecanoic acid,OA/SA/NA,Myo-Inositol-1-phosphate,a-l/l/M/c
N,0.910818668,1.72691864,0.031692092,NaN,0.054169525,0.040877808,0.073493617,0.006360678,0.465671836,0.112130231,3.829328903,0.025009079,0.029289618,NaN,0.016020028,0.010411636,0.030712017,0.02199105,0.04081039,0.014652496,NaN,NaN,0.0404913,0.008430427,0.006279908,0.01984826,0.004185464,0.003305947,0.089761553,0.018439268,0.704246787,0.004909885,0.007711598,0.212888283,0.033417439,0.077838519,0.015163163,0.109822609,0.025628455,0.021090066,0.061218719,0.005564596,0.033798613,0.006049832,NaN,0.691497351,0.001136716,NaN,0.019718671,0.099465184,0.000549126,0.00095602
N,0.90690797,1.482967796,0.023681974,NaN,0.047849608,0.03576156,0.058740961,NaN,0.483149866,0.09770931,3.435594988,NaN,0.023616182,NaN,0.012247413,0.010078496,0.023285306,0.016959724,0.036231063,0.008343632,NaN,NaN,NaN,0.006584588,NaN,0.024183192,NaN,NaN,0.063527252,0.014743807,0.40412195,0.003433188,0.006945922,0.146848419,NaN,0.054017744,0.014369996,0.081741307,0.021655457,0.015856883,0.047924959,0.004503385,0.027561277,NaN,NaN,0.52764507,NaN,NaN,0.020828577,0.095870789,NaN,0.001120717
N,0.915387589,1.904232038,0.046483957,NaN,0.084422916,0.070686819,0.119708678,NaN,0.547748333,0.119507687,3.659362235,0.038840245,0.071105519,NaN,NaN,0.011857719,0.034899577,0.013750839,0.051078172,0.016606641,NaN,NaN,0.07461142,0.00949596,0.005096322,0.024721559,0.011393773,NaN,0.091186574,0.017987553,0.718951829,0.002916878,0.00536204,0.217117797,0.034053588,0.080783652,0.018367992,0.007628459,0.002980858,0.001543814,0.092229268,0.005918257,0.002941626,0.00608967,NaN,0.765363938,0.000735923,0.001439464,0.020719731,0.10587263,0.001236437,0.002462594
N,0.909701957,2.047615342,0.051975302,NaN,0.088593533,0.080004816,0.12307405,0.003778933,0.537838458,0.122691655,3.165331574,NaN,0.071775181,NaN,0.014364496,0.010631211,0.034499349,0.012746028,0.049784558,0.015913248,0.007211396,NaN,0.061246525,0.008204926,0.004492221,0.024845562,0.00893068,NaN,0.083101314,0.016352027,0.737505793,0.002351771,0.005622851,0.213156426,0.034624627,0.080270069,0.016978941,0.014988053,0.004140735,0.00258447,0.084669682,0.006106028,0.00580187,NaN,NaN,NaN,0.001001183,NaN,0.022495093,0.109127129,0.001271695,0.00260647
N,0.888791508,1.230514093,0.019352028,NaN,0.046440336,0.0308539,0.056797304,NaN,0.507829795,0.117451252,NaN,0.020130433,0.023296545,NaN,0.011382374,0.009001157,0.020146559,0.021130385,0.04270176,0.00900342,NaN,NaN,NaN,0.005615608,NaN,0.022400224,NaN,NaN,0.066152368,0.015411084,0.481695551,0.003142635,0.007544865,0.112160419,0.018104672,0.040199258,0.017180764,0.075426391,0.023761437,0.015277681,0.052372127,0.005704646,0.032170859,0.005480817,NaN,0.666652501,0.001072634,NaN,0.019527489,0.096513375,0.000585694,0.000835183
N,0.346148319,1.087994581,0.014292569,NaN,NaN,0.03062255,NaN,NaN,0.47833317,NaN,4.227630992,0.017828541,0.018848983,NaN,NaN,0.011374619,NaN,0.021884801,0.049125141,NaN,NaN,NaN,NaN,0.006342391,0.005218738,0.019982505,0.005245295,NaN,0.140910691,0.017881991,0.266237589,0.002455,0.009418135,0.092569596,0.015348232,0.035335834,0.020467621,0.041060052,0.016621112,0.008637963,0.050656263,NaN,0.024786844,0.005854521,NaN,0.644257475,0.001038015,NaN,0.029396491,NaN,NaN,NaN
N,0.915095002,2.112877264,0.058396284,NaN,0.108441917,0.068072374,0.137326663,0.014037215,NaN,0.137899873,4.811720899,0.039210442,0.039139216,NaN,NaN,0.011227277,0.053933574,0.029266296,0.046116019,0.032637354,0.012905357,NaN,0.092760463,0.012902688,0.009560077,0.024663639,0.011379197,NaN,0.199184098,0.026625859,1.182176633,0.005465359,0.011840393,0.400308553,0.062413868,0.153660883,NaN,0.319721013,0.091755787,0.079883124,0.08705912,0.007747746,0.108738667,0.006885282,0.009422412,0.832164776,0.001396496,0.017422292,0.029205834,0.119758423,NaN,0.002987657
N,0.308345123,1.244877689,0.010972897,NaN,NaN,0.027557092,NaN,0.005831524,0.494244197,0.09401005,3.934387079,NaN,0.034724717,NaN,0.010581099,NaN,0.021321336,0.020270936,0.038252172,NaN,0.004435808,NaN,NaN,0.005542554,0.004617393,0.018674807,0.004826663,NaN,0.136671375,0.014123969,0.215193927,0.003315356,0.008456789,0.108073661,0.017058681,0.040765778,0.01393468,0.044108826,0.015128859,0.010444784,0.056929466,0.006213019,0.018497181,0.009429842,NaN,0.617035506,0.001173594,0.008881444,0.032142868,0.111545476,NaN,0.000551906
N,0.569812307,1.12483483,0.004371863,NaN,NaN,0.028648198,NaN,NaN,0.500676877,NaN,3.860634185,0.008705266,0.049467662,NaN,0.009277447,0.011208246,0.020456655,0.018295128,0.056860693,NaN,NaN,NaN,NaN,0.005490293,0.005480978,0.023692665,0.004692678,NaN,NaN,0.011750605,0.175783785,NaN,0.007282385,0.081038214,0.013869763,0.032065776,0.017697642,0.026366473,0.010566905,0.005777541,0.05618844,0.006016242,0.014885336,0.006770494,NaN,0.560997158,0.001025839,0.008753937,0.03643883,0.135495304,NaN,0.000715526
N,0.816399829,1.806791978,0.027386771,NaN,NaN,0.052557138,0.070263299,NaN,0.440479067,NaN,4.453279092,0.010270154,0.113041174,NaN,NaN,0.010734851,0.02553206,0.010755364,0.030620129,NaN,NaN,NaN,NaN,0.007098524,NaN,0.023685672,0.010135282,NaN,0.069917617,0.006652416,0.057325726,0.002092348,NaN,0.161226871,0.024788337,0.066220213,0.01309615,0.005271849,0.00111881,0.001077516,0.06545661,NaN,0.001566836,0.004024989,NaN,0.604520037,0.001007663,NaN,0.025717615,0.097769921,NaN,0.003238664
